Fun,pair,diff,lwr,upr,p adj,p1.f,p1.pH,p2.f,p2.pH,key
L,5:L-5:H,-1.2299999999999969,-2.4259176457235068,-0.03408235427648698,0.03871134586497438,L,5,H,5,K
L,7:L-5:H,2.1211111111111114,0.8924225308284954,3.349799691393727,1.1690081329618351e-5,L,7,H,5,K
L,7:L-7:H,2.0861111111111104,0.7867062457069447,3.385515976515276,5.7323190294167325e-5,L,7,H,7,K
L,7:L-5:L,3.3511111111111083,2.1224225308284925,4.579799691393724,0,L,7,L,5,K
L,7:P-5:L,3.2499999999999956,2.0540823542764857,4.4459176457235055,0,P,7,L,5,K
L,5:P-7:L,-3.2211111111111093,-4.449799691393725,-1.9924225308284933,2.2607027361232213e-11,P,5,L,7,K
P,5:P-5:A,-5.502222222222219,-7.583344564738054,-3.4210998797063836,3.69574371106296e-10,P,5,A,5,K
P,7:P-5:A,-4.889999999999997,-6.9156157436994,-2.864384256300595,8.027607467653297e-10,P,7,A,5,K
P,5:P-7:A,-3.8022222222222197,-5.883344564738055,-1.7210998797063843,2.539347584096241e-6,P,5,A,7,K
P,7:P-7:A,-3.1899999999999977,-5.2156157436994,-1.1643842563005955,7.778533588098657e-5,P,7,A,7,K
P,5:P-5:C,-8.722222222222237,-10.85740869368423,-6.587035750760245,3.561764216897245e-10,P,5,C,5,K
P,7:P-5:C,-8.110000000000015,-10.19112234251585,-6.0288776574841805,3.561803074703107e-10,P,7,C,5,K
P,5:P-7:C,-5.242222222222233,-7.323344564738068,-3.161099879706398,4.4651637942649813e-10,P,5,C,7,K
P,7:P-7:C,-4.630000000000011,-6.655615743699414,-2.604384256300609,3.4702483109327886e-9,P,7,C,7,K
P,5:P-5:H,-3.502222222222219,-5.583344564738054,-1.4210998797063836,1.851767728866527e-5,P,5,H,5,K
P,7:P-5:H,-2.889999999999997,-4.9156157436994,-0.8643842563005948,5.082393563599075e-4,P,7,H,5,K
P,7:P-7:H,2.5000000000000027,0.47438425630060044,4.5256157436994044,0.004801995066442077,P,7,H,7,K
P,5:P-5:L,-4.602222222222222,-6.683344564738057,-2.521099879706387,9.84872383646973e-9,P,5,L,5,K
P,7:P-5:L,-3.99,-6.015615743699403,-1.964384256300598,3.324971935558807e-7,P,7,L,5,K
P,5:P-7:L,-2.752222222222221,-4.833344564738056,-0.6710998797063854,0.00176806798219864,P,5,L,7,K
P,7:P-7:L,-2.139999999999999,-4.1656157436994015,-0.11438425630059657,0.029765363846682713,P,7,L,7,K
