Plate_ID,Plug_ID,1,2,3,4,5,6,7,8,
LP502,l,0.9,1.5,2.6,3.4,4.4,5.3,6.1,,
LP502,p,1,1.9,3.9,5.3,8.4,9.7,10.7,,
LP503,l,0.8,1.7,2.4,2.9,4,4.6,,,
LP503,p,0.8,1.9,4.5,7.7,11,13.4,,,
LP504,l,0.8,1.6,2.7,3.6,4.1,4.6,,,
LP504,p,0.9,2,4.4,7.7,10.4,13.1,15.3,,
LP505,l,0.8,1.8,2.5,3,4.4,5.9,7.5,,
LP505,p,0.8,1.9,3.3,4.6,6,6.9,7.9,,
LP506,l,0.9,1.7,2.5,2.9,3.5,4.3,4.9,,
LP506,p,0.9,2.2,4.3,7.7,10.6,13.2,15,,
LP507,l,0.6,1.4,2,2.4,2.9,3.3,,,
LP507,p,0.8,1.9,4.5,8,11,13.3,16.5,,
LP508,l,0.7,1.2,2.1,2.5,3.2,3.8,,,
LP508,p,0.9,2,4.3,7.5,10.9,13.7,,,
LP509,l,0.6,1.2,1.9,2.8,3.7,4.3,5.1,,
LP509,p,0.9,2.1,4.4,7.8,10.4,13.2,15,,
LP510,l,0.9,1.8,2.9,3.4,4.2,4.9,,,
LP510,p,0.9,1.9,4.2,7.7,10.7,13.4,16.2,,
LP701,l,0.6,1.3,2.1,4.5,6.4,7.4,,,
LP701,p,0.7,1.9,3.9,7.3,10.9,13,,,
LP702,l,0.4,1.2,2.6,5.3,7.6,9.2,,,
LP702,p,0.7,1.9,4.1,6.4,8.3,11.3,,,
LP703,l,0.4,1.3,2.9,4.6,6.5,8.2,,,
LP703,p,1,1.9,3.8,6.4,9.7,12.1,,,
LP704,l,0.5,1.5,2.8,4.7,6.4,8,,,
LP704,p,0.6,1.7,3.4,6.2,9.8,12,,,
LP705,l,0.7,1.4,2.7,4.8,7,8.2,,,
LP705,p,0.7,1.6,3.4,6.6,9.8,12,,,
LP706,l,0.6,1.5,2.6,4.3,6.9,8.2,,,
LP706,p,0.8,1.9,3.5,7.1,10.3,12.6,,,
LP707,l,0.7,1.3,2.5,4.3,6.4,7.7,,,
LP707,p,0.8,1.7,3.7,6.5,9.5,11.6,,,
LP708,l,0.7,1.5,2.5,5,7.2,8.4,,,
LP708,p,0.9,1.9,4.1,6.7,9.2,11.5,,,
