Plate_ID,Fun_ID,cont_ID,PH_ID,Plug_ID,opp_ID,r,K
CP709,P,0,7,pCP709,C,0.2147064371342917,16
CP710,C,0,7,cCP710,P,0.1504966005407421,4.7
CP710,P,0,7,pCP710,C,0.18800967459703427,14.5
HA501,H,0,5,hHA501,A,0.12711678220673037,9
HA501,A,0,5,aHA501,H,0.1601167306827581,4.7
HA502,H,0,5,hHA502,A,0.13732653608351367,9.1
HA502,A,0,5,aHA502,H,0.1793855656611654,5.2
HA503,H,0,5,hHA503,A,0.10496883184397755,8.4
HA503,A,0,5,aHA503,H,0.11091289937511288,4.7
HA504,H,0,5,hHA504,A,0.10680191601950843,8.9
HA504,A,0,5,aHA504,H,0.1732867951399864,5
HA505,H,0,5,hHA505,A,0.1047911488005554,6.8
HA505,A,0,5,aHA505,H,0.17328679513998635,7.2
HA506,H,0,5,hHA506,A,0.11172723450276202,8.9
HA506,A,0,5,aHA506,H,0.1668751333415425,5
HA507,H,0,5,hHA507,A,0.1128584639427518,7.7
HA507,A,0,5,aHA507,H,0.150496600540742,5.1
HA508,H,0,5,hHA508,A,0.13232586925680132,9.8
HA508,A,0,5,aHA508,H,0.2107998691962787,5.6
HA509,H,0,5,hHA509,A,0.10777793882548492,8.5
HA509,A,0,5,aHA509,H,0.1565953710619211,5.1
HA510,H,0,5,hHA510,A,0.09526750650586208,6.2
HA510,A,0,5,aHA510,H,0.1668751333415425,4.8
HA701,H,0,7,hHA701,A,0.17328679513998635,17.5
HA701,A,0,7,aHA701,H,0.1925556301183936,5.6
HA702,H,0,7,hHA702,A,0.20242353041090855,18.1
HA702,A,0,7,aHA702,H,0.16521947999778994,5.1
HA703,H,0,7,hHA703,A,0.1732867951399864,17.5
HA703,A,0,7,aHA703,H,0.156595371061921,5.9
HA704,H,0,7,hHA704,A,0.16640432299210786,19.7
HA704,A,0,7,aHA704,H,0.13732653608351378,3.9
HA705,H,0,7,hHA705,A,0.15717008471799965,19.4
HA705,A,0,7,aHA705,H,0.15401796016157906,4.8
